winner,weight_class,is_title_bout,gender,total_rounds,r_wins_total,r_losses_total,r_age,r_height,r_weight,r_stance,r_SLpM_total,r_SApM_total,r_sig_str_acc_total,r_td_acc_total,r_str_def_total,r_td_def_total,r_sub_avg,r_td_avg,b_wins_total,b_losses_total,b_age,b_height,b_weight,b_stance,b_SLpM_total,b_SApM_total,b_sig_str_acc_total,b_td_acc_total,b_str_def_total,b_td_def_total,b_sub_avg,b_td_avg,wins_total_diff,losses_total_diff,age_diff,height_diff,weight_diff,SLpM_total_diff,SApM_total_diff,sig_str_acc_total_diff,td_acc_total_diff,str_def_total_diff,td_def_total_diff,sub_avg_diff,td_avg_diff
1,9,0,1,3.0,30,11,30.0,185.42,83.91,0,5.15,3.71,0.54,0.55,0.58,0.94,0.7,1.55,19,7,29.0,182.88,83.91,1,5.06,4.26,0.5,0.44,0.61,0.48,0.0,0.75,11,4,1.0,2.539999999999992,0.0,0.0900000000000007,-0.5499999999999998,0.04,0.11,-0.03,0.4599999999999999,0.7,0.8
1,11,0,1,3.0,5,0,35.0,200.66,120.2,0,23.33,6.67,0.77,0.0,0.6,0.0,0.0,0.0,15,8,34.0,193.04,120.2,0,4.55,4.88,0.48,0.33,0.41,0.46,0.2,0.98,-10,-8,1.0,7.620000000000003,0.0,18.78,1.79,0.29,-0.33,0.19,-0.46,-0.2,-0.98
0,4,0,1,3.0,12,5,32.0,167.64,56.7,0,5.24,4.62,0.57,0.0,0.52,0.6,0.2,0.0,19,2,30.0,162.56,56.7,0,3.02,1.42,0.59,0.57,0.53,0.0,1.3,7.12,-7,3,2.0,5.079999999999984,0.0,2.22,3.2,-0.02,-0.57,-0.01,0.6,-1.1,-7.12
1,1,0,0,3.0,17,8,38.0,167.64,56.7,0,7.1,4.89,0.51,0.55,0.51,0.58,0.3,1.52,11,6,32.0,170.18,56.7,0,4.42,4.89,0.33,0.24,0.51,0.42,0.6,0.7,6,2,6.0,-2.5400000000000205,0.0,2.68,0.0,0.18,0.31,0.0,0.1599999999999999,-0.3,0.8200000000000001
1,11,0,1,5.0,14,5,36.0,187.96,109.77,0,3.44,2.78,0.49,0.0,0.47,0.75,0.0,0.0,12,1,34.0,193.04,120.2,0,2.63,4.73,0.44,0.14,0.42,1.0,0.5,0.53,2,4,2.0,-5.079999999999984,-10.430000000000009,0.81,-1.9500000000000008,0.0499999999999999,-0.14,0.0499999999999999,-0.25,-0.5,-0.53
1,10,0,1,3.0,11,0,26.0,187.96,92.99,0,2.74,2.49,0.45,0.68,0.45,0.71,0.8,3.86,10,5,32.0,190.5,92.99,0,2.9,2.39,0.59,0.3,0.56,0.5,0.8,0.76,1,-5,-6.0,-2.539999999999992,0.0,-0.1599999999999997,0.1,-0.1399999999999999,0.38,-0.11,0.2099999999999999,0.0,3.1
0,4,0,1,3.0,24,8,32.0,167.64,56.7,0,4.12,3.14,0.46,0.44,0.59,0.82,1.0,2.26,12,0,23.0,170.18,56.7,0,1.53,1.36,0.48,0.41,0.57,0.0,1.0,5.75,12,8,9.0,-2.5400000000000205,0.0,2.59,1.78,-0.0199999999999999,0.03,0.02,0.82,0.0,-3.49
1,5,0,1,3.0,17,0,28.0,172.72,61.23,0,4.75,0.56,0.69,0.56,0.76,1.0,0.6,4.51,11,2,26.0,170.18,61.23,0,0.2,4.53,0.18,0.0,0.3,0.0,0.0,0.0,6,-2,2.0,2.539999999999992,0.0,4.55,-3.97,0.51,0.56,0.46,1.0,0.6,4.51
0,4,0,1,3.0,16,8,34.0,172.72,56.7,0,4.23,4.56,0.38,0.44,0.55,0.5,1.0,0.59,12,1,28.0,172.72,56.7,0,4.57,3.64,0.48,0.3,0.55,0.77,0.8,1.69,4,7,6.0,0.0,0.0,-0.3399999999999998,0.9199999999999996,-0.0999999999999999,0.14,0.0,-0.27,0.1999999999999999,-1.1
1,9,0,1,3.0,16,8,36.0,185.42,83.91,1,3.41,4.17,0.47,0.26,0.5,0.79,0.1,1.79,13,11,35.0,187.96,83.91,0,2.65,3.62,0.47,0.4,0.5,0.67,0.1,1.26,3,-3,1.0,-2.5400000000000205,0.0,0.7600000000000002,0.5499999999999998,0.0,-0.14,0.0,0.12,0.0,0.53
